,0
0,12.169626922750064
1,0.7518796992481203
2,5.543710021321962
3,7.623478883321402
4,1.4301430143014302
5,4.5054945054945055
6,4.229607250755287
7,7.575757575757576
8,12.852382913406462
9,5.698529411764706
10,10.543222869450291
11,4.660633484162896
12,4.295302013422819
13,4.768392370572207
14,5.263157894736842
15,6.535141800246609
16,10.823293172690764
17,1.5313935681470139
18,6.010016694490818
19,1.8284106891701828
20,10.407491613272493
21,9.440928270042194
22,10.548186031644558
23,10.045146726862303
24,6.024495200264813
25,12.43139407244786
26,3.6734693877551026
27,10.58911260253542
28,5.802047781569966
29,4.533898305084746
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
